,test_AUC,test_AUPR,test_precision,test_recall,test_F1,test_accuracy,test_TN,test_FP,test_FN,test_TP,test_loss,train_AUC,train_AUPR,train_precision,train_recall,train_F1,train_accuracy,train_TN,train_FP,train_FN,train_TP,train_loss
0,0.766669459878794,0.5523953142654446,0.4259842519685039,0.5899672846237731,0.4947416552354823,0.7637879435656263,3032.0,729.0,376.0,541.0,11.005694389343262,0.7997201703459104,0.6336388476709747,0.4529936524275176,0.6397334948516051,0.5304072716315975,0.7778648802736602,27464.0,6377.0,2974.0,5281.0,10.095224380493164
1,0.7669562232137964,0.5886997737044464,0.4218867924528302,0.6095965103598692,0.4986619090098126,0.7597263787943566,2995.0,766.0,358.0,559.0,10.988117218017578,0.8103364272129412,0.6450073516386579,0.4625997917389795,0.6457904300423986,0.5390565751554679,0.7834236031927024,27648.0,6193.0,2924.0,5331.0,10.075065612792969
2,0.7773637895905199,0.608091669208845,0.3985742060920285,0.6706652126499455,0.5,0.7370671227020094,2833.0,928.0,302.0,615.0,10.957295417785645,0.8170609891187617,0.6560627192057987,0.4274769797421731,0.7029678982434888,0.5316536875858909,0.7571265678449259,26069.0,7772.0,2452.0,5803.0,10.245767593383787
3,0.7751305730018554,0.5974605415657938,0.5113636363636364,0.5398037077426391,0.5251989389920424,0.8086789226165028,3288.0,473.0,422.0,495.0,9.84996509552002,0.8119705647375689,0.6500508918020711,0.5533527696793002,0.5748031496062992,0.5638740344622698,0.8256366400608134,30011.0,3830.0,3510.0,4745.0,9.047733306884766
4,0.7582327027922746,0.5796872398595787,0.399025069637883,0.6248636859323882,0.4870378240543986,0.741983753740915,2898.0,863.0,344.0,573.0,11.19686508178711,0.7984039767258047,0.6294527302189378,0.4399768824306473,0.6455481526347668,0.5232974910394265,0.7693605093120487,27058.0,6783.0,2926.0,5329.0,10.12416648864746
5,0.7733119889400397,0.5878391931529238,0.4353954581049334,0.6063249727371864,0.5068368277119417,0.7687045746045319,3040.0,721.0,361.0,556.0,10.616581916809082,0.8016987107073983,0.6291842924086071,0.4589342244108336,0.6322228952150212,0.5318184134100983,0.7817132269099202,27688.0,6153.0,3036.0,5219.0,10.2567138671875
6,0.7537197321879812,0.5686725535777817,0.3862841147655703,0.6019629225736096,0.4705882352941176,0.7345019238991022,2884.0,877.0,365.0,552.0,11.08471965789795,0.7962413943812596,0.6211887402473312,0.4266001403289935,0.6628709872804361,0.5191158334123896,0.7591695172938047,26486.0,7355.0,2783.0,5472.0,10.502180099487305
7,0.7642344361302085,0.5864070673905878,0.4044862518089725,0.6095965103598692,0.4862983906046106,0.7475416844805473,2938.0,823.0,358.0,559.0,10.792438507080078,0.8144468813262922,0.6509328312209788,0.4451078735769445,0.6772864930345245,0.5371829362029208,0.7711421512732801,26871.0,6970.0,2664.0,5591.0,10.1294527053833
8,0.7651999790074162,0.5749289831324651,0.4142966948501153,0.5877862595419847,0.4860234445446348,0.7563061137238136,2999.0,762.0,378.0,539.0,10.714534759521484,0.7885510572825056,0.6114541247052663,0.4381736399898158,0.6254391278013325,0.5153208903084139,0.7692892436335994,27221.0,6620.0,3092.0,5163.0,10.45428466796875
9,0.7485584270871601,0.5640417770252855,0.4028941355674029,0.5768811341330425,0.4744394618834081,0.7494655835827276,2977.0,784.0,388.0,529.0,10.75388240814209,0.8080925350640813,0.6382678598080767,0.4504859249329758,0.6513628104179285,0.5326135406864445,0.7758219308247815,27282.0,6559.0,2878.0,5377.0,10.034958839416504
mean,0.7649377311830046,0.5808224112883151,0.4200190611611876,0.6017448200654307,0.49298266873304497,0.7567764001710132,2988.4,772.6,365.2,551.8,10.79600944519043,0.8046522706902524,0.6365240388926701,0.4555701879258181,0.6458025439127801,0.5324340673894918,0.7770548270619536,27379.8,6461.2,2923.9,5331.1,10.09655475616455
std,0.00928049476001644,0.01645278071810428,0.03531648928684249,0.033693523855208546,0.0159451464406903,0.021438275165205075,124.88679318130924,124.88679318130924,30.89696137522624,30.89696137522624,0.3780865389170669,0.00912685533029379,0.014233092019826256,0.03642099015170485,0.03376101119997579,0.013390387270565185,0.019137273518989733,1054.6990934753749,1054.6990934753749,278.6971474558001,278.6971474558001,0.4009082391582861
